selected_generators,num_search_qubits,dimension,seed,train_sample_count,measurement_policy,shots,shots_per_circuit,max_candidates_per_shotbatch,refit_policy,learner,oracle_mode,diagnostic_only,training_contains_hidden_optimum,initial_matches_hidden_optimum,found_hidden_exact_optimum,success_within_1_percent,success_within_3_percent,success_within_5_percent,absolute_gap_to_hidden_best,relative_gap_to_hidden_best,random_exact_success_probability,random_success_within_1_percent_probability,random_success_within_3_percent_probability,random_success_within_5_percent_probability,algorithmic_ed_lp_calls,search_verification_calls,hidden_reference_ed_lp_calls,circuit_executions,total_shots,verified_candidates,max_qubits,max_transpiled_depth,status,error
"[0, 1, 2]",6,64,1,8,shot_batch,2000,2000,1,none,pairwise_ranking,learned,False,False,False,False,False,False,False,6000.000000000004,0.1917804258833475,0.0625,0.0625,0.0625,0.0625,12,4,64,3,6000,3,27,478,ok,
"[0, 1, 2]",6,64,1,8,shot_batch,2000,2000,1,accepted,mismatch,learned,False,False,False,False,False,False,False,8687.893962588238,0.2776946673624225,0.0625,0.0625,0.0625,0.0625,12,4,64,3,6000,3,24,244,ok,
"[0, 1, 2]",6,64,1,8,shot_batch,2000,2000,1,accepted,pairwise_ranking,learned,False,,,,,,,,,,,,,,,,,,,,,error,'Number of qubits (30) in small_sample_gate_level_tau_4 is greater than maximum (29) in the coupling_map'
"[0, 1, 2]",6,64,1,8,shot_batch,2000,2000,3,none,mismatch,learned,False,False,False,False,False,False,False,2000.0000000000036,0.06392680862778258,0.109375,0.109375,0.109375,0.109375,15,7,64,2,4000,6,24,2,ok,
"[0, 1, 2]",6,64,1,8,shot_batch,2000,2000,3,none,pairwise_ranking,learned,False,False,False,False,False,False,False,2000.0000000000036,0.06392680862778258,0.109375,0.109375,0.109375,0.109375,15,7,64,2,4000,6,27,2,ok,
"[0, 1, 2]",6,64,1,8,shot_batch,2000,2000,3,accepted,mismatch,learned,False,False,False,False,False,False,False,2000.0000000000036,0.06392680862778258,0.109375,0.109375,0.109375,0.109375,15,7,64,2,4000,6,24,2,ok,
"[0, 1, 2]",6,64,1,8,shot_batch,2000,2000,3,accepted,pairwise_ranking,learned,False,,,,,,,,,,,,,,,,,,,,,error,'Number of qubits (30) in small_sample_gate_level_tau_5 is greater than maximum (29) in the coupling_map'
"[0, 1, 2]",6,64,1,8,shot_batch,2000,2000,5,none,mismatch,learned,False,False,False,False,False,False,False,2000.0000000000036,0.06392680862778258,0.15625,0.15625,0.15625,0.15625,18,10,64,2,4000,10,24,2,ok,
"[0, 1, 2]",6,64,1,8,shot_batch,2000,2000,5,none,pairwise_ranking,learned,False,False,False,False,False,False,False,2000.0000000000036,0.06392680862778258,0.15625,0.15625,0.15625,0.15625,18,10,64,2,4000,10,27,2,ok,
"[0, 1, 2]",6,64,1,8,shot_batch,2000,2000,5,accepted,mismatch,learned,False,False,False,False,False,False,False,2000.0000000000036,0.06392680862778258,0.15625,0.15625,0.15625,0.15625,18,10,64,2,4000,10,24,2,ok,
"[0, 1, 2]",6,64,1,8,shot_batch,2000,2000,5,accepted,pairwise_ranking,learned,False,,,,,,,,,,,,,,,,,,,,,error,'Number of qubits (30) in small_sample_gate_level_tau_0 is greater than maximum (29) in the coupling_map'
"[0, 1, 2]",6,64,1,8,classical_hidden_perfect_diagnostic,0,0,0,none,hidden_reference,hidden_perfect_diagnostic,True,False,False,True,True,True,True,0.0,0.0,,,,,10,2,64,0,0,2,0,0,ok,
