config,selected_generators,num_search_qubits,dimension,seed,train_sample_count,exclude_hidden_optimum_from_training,exclude_hidden_optimum_from_initial,training_contains_hidden_optimum,initial_matches_hidden_optimum,hidden_best_bitstring,hidden_best_true_cost,initial_bitstring,initial_true_cost,final_bitstring,final_true_cost,found_hidden_exact_optimum,algorithmic_ed_lp_calls,hidden_reference_ed_lp_calls,circuit_executions,total_shots,max_qubits,max_circuit_depth,max_transpiled_depth,status,error
"0,5","[0, 5]",4,16,14,8,True,True,False,False,1100,24578.2152604,1101,30948.208892,1000,27956.61606872647,False,11,16,17,34000,14,38,77,ok,
"0,5","[0, 5]",4,16,15,8,True,True,False,False,1100,24578.2152604,0110,33603.67922298824,1000,27956.61606872647,False,12,16,16,32000,14,55,108,ok,
"0,5","[0, 5]",4,16,16,8,True,True,False,False,1100,24578.2152604,1011,39794.7596684,0100,28212.01718604706,False,14,16,20,40000,14,56,114,ok,
"0,5","[0, 5]",4,16,17,8,True,True,False,False,1100,24578.2152604,0101,34582.01081764706,1000,27956.61606872647,False,14,16,25,50000,14,38,57,ok,
"0,5","[0, 5]",4,16,18,8,True,True,False,False,1100,24578.2152604,1001,33519.4152604,1100,24578.2152604,True,11,16,13,26000,14,56,84,ok,
"0,5","[0, 5]",4,16,19,8,True,True,False,False,1100,24578.2152604,1001,33519.4152604,1000,27956.61606872647,False,13,16,19,38000,14,49,84,ok,
"0,5","[0, 5]",4,16,0,12,True,True,False,False,1100,24578.2152604,0000,29590.41799437353,1100,24578.2152604,True,14,16,13,26000,14,38,57,ok,
"0,5","[0, 5]",4,16,1,12,True,True,False,False,1100,24578.2152604,1001,33519.4152604,1000,27956.61606872647,False,14,16,31,62000,14,56,84,ok,
"0,5","[0, 5]",4,16,2,12,True,True,False,False,1100,24578.2152604,0100,28212.01718604706,1100,24578.2152604,True,13,16,13,26000,14,38,57,ok,
"0,5","[0, 5]",4,16,3,12,True,True,False,False,1100,24578.2152604,0001,35153.21718604706,1100,24578.2152604,True,15,16,20,40000,14,56,84,ok,
"0,5","[0, 5]",4,16,4,12,True,True,False,False,1100,24578.2152604,0001,35153.21718604706,0000,29590.41799437353,False,13,16,16,32000,14,55,90,ok,
"0,5","[0, 5]",4,16,5,12,True,True,False,False,1100,24578.2152604,0010,34982.080031314705,1100,24578.2152604,True,14,16,22,44000,14,37,61,ok,
"0,5","[0, 5]",4,16,6,12,True,True,False,False,1100,24578.2152604,1011,39794.7596684,0000,29590.41799437353,False,15,16,19,38000,14,56,78,ok,
"0,5","[0, 5]",4,16,7,12,True,True,False,False,1100,24578.2152604,1010,34256.00041105882,1000,27956.61606872647,False,14,16,13,26000,14,55,90,ok,
"0,5","[0, 5]",4,16,8,12,True,True,False,False,1100,24578.2152604,0010,34982.080031314705,1000,27956.61606872647,False,14,16,14,28000,14,20,30,ok,
"0,5","[0, 5]",4,16,9,12,True,True,False,False,1100,24578.2152604,0000,29590.41799437353,1100,24578.2152604,True,16,16,27,54000,14,56,84,ok,
"0,5","[0, 5]",4,16,10,12,True,True,False,False,1100,24578.2152604,0110,33603.67922298824,1100,24578.2152604,True,15,16,17,34000,14,56,84,ok,
"0,5","[0, 5]",4,16,11,12,True,True,False,False,1100,24578.2152604,0001,35153.21718604706,0100,28212.01718604706,False,14,16,14,28000,14,56,84,ok,
"0,5","[0, 5]",4,16,12,12,True,True,False,False,1100,24578.2152604,1001,33519.4152604,1100,24578.2152604,True,14,16,13,26000,14,56,84,ok,
"0,5","[0, 5]",4,16,13,12,True,True,False,False,1100,24578.2152604,1011,39794.7596684,1000,27956.61606872647,False,13,16,16,32000,14,56,84,ok,
"0,5","[0, 5]",4,16,14,12,True,True,False,False,1100,24578.2152604,0000,29590.41799437353,1000,27956.61606872647,False,14,16,17,34000,14,37,61,ok,
"0,5","[0, 5]",4,16,15,12,True,True,False,False,1100,24578.2152604,1011,39794.7596684,1000,27956.61606872647,False,13,16,17,34000,14,56,84,ok,
"0,5","[0, 5]",4,16,16,12,True,True,False,False,1100,24578.2152604,1101,30948.208892,0100,28212.01718604706,False,12,16,20,40000,14,55,90,ok,
"0,5","[0, 5]",4,16,17,12,True,True,False,False,1100,24578.2152604,0101,34582.01081764706,1000,27956.61606872647,False,14,16,25,50000,14,38,57,ok,
